O_CITY,O_STATE,D_CITY,D_STATE,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,AIR_SYSTEM_DELAY,SECURITY_DELAY,WEATHER_DELAY,DATE,AIRLINE_NAME
Chicago,IL,Omaha,NE,1655,1706.0,11.0,8.0,1714.0,80,72.0,60.0,423,1814.0,4.0,1815,1818.0,3.0,0,0,,,,2015-9-6,Southwest Airlines Co.
Ontario,CA,Salt Lake City,UT,1630,1625.0,-5.0,14.0,1639.0,108,100.0,81.0,558,1900.0,5.0,1918,1905.0,-13.0,0,0,,,,2015-2-23,Skywest Airlines Inc.
Charlotte Amalie,VI,Atlanta,GA,1510,1526.0,16.0,11.0,1537.0,250,247.0,230.0,1599,1827.0,6.0,1820,1833.0,13.0,0,0,,,,2015-1-16,Delta Air Lines Inc.
Salt Lake City,UT,Oakland,CA,1505,1505.0,0.0,14.0,1519.0,119,102.0,82.0,588,1541.0,6.0,1604,1547.0,-17.0,0,0,,,,2015-12-1,Delta Air Lines Inc.
Fargo,ND,Denver,CO,1712,1805.0,53.0,11.0,1816.0,123,125.0,95.0,627,1851.0,19.0,1815,1910.0,55.0,0,0,2.0,0.0,0.0,2015-2-4,Skywest Airlines Inc.
Dallas-Fort Worth,TX,Philadelphia,PA,1950,1945.0,-5.0,19.0,2004.0,176,180.0,154.0,1303,2338.0,7.0,2346,2345.0,-1.0,0,0,,,,2015-2-9,American Airlines Inc.
Indianapolis,IN,Chicago,IL,750,745.0,-5.0,8.0,753.0,69,50.0,39.0,177,732.0,3.0,759,735.0,-24.0,0,0,,,,2015-4-10,United Air Lines Inc.
Harrisburg,PA,Atlanta,GA,1800,1758.0,-2.0,16.0,1814.0,132,117.0,93.0,620,1947.0,8.0,2012,1955.0,-17.0,0,0,,,,2015-12-9,Delta Air Lines Inc.
Boston,MA,Atlanta,GA,1100,1056.0,-4.0,27.0,1123.0,174,175.0,136.0,946,1339.0,12.0,1354,1351.0,-3.0,0,0,,,,2015-9-7,Delta Air Lines Inc.
Boston,MA,Indianapolis,IN,1925,2128.0,123.0,12.0,2140.0,175,168.0,148.0,818,8.0,8.0,2220,16.0,116.0,0,0,0.0,0.0,0.0,2015-12-30,Southwest Airlines Co.
Omaha,NE,Seattle,WA,1615,1803.0,108.0,9.0,1812.0,213,211.0,195.0,1368,1927.0,7.0,1748,1934.0,106.0,0,0,0.0,0.0,0.0,2015-4-13,Skywest Airlines Inc.
Las Vegas,NV,San Francisco,CA,725,724.0,-1.0,11.0,735.0,100,81.0,65.0,414,840.0,5.0,905,845.0,-20.0,0,0,,,,2015-11-22,Southwest Airlines Co.
San Francisco,CA,Eugene,OR,1315,1346.0,31.0,17.0,1403.0,98,82.0,59.0,451,1502.0,6.0,1453,1508.0,15.0,0,0,0.0,0.0,0.0,2015-4-29,Skywest Airlines Inc.
Dallas-Fort Worth,TX,San Juan,PR,715,706.0,-9.0,11.0,717.0,300,301.0,265.0,2165,1242.0,25.0,1315,1307.0,-8.0,0,0,,,,2015-6-22,American Airlines Inc.
Chicago,IL,Detroit,MI,2150,2200.0,10.0,30.0,2230.0,65,73.0,38.0,228,8.0,5.0,2355,13.0,18.0,0,0,8.0,0.0,0.0,2015-9-15,Southwest Airlines Co.
