Category,Frequency,Percentage
TX,577,13.27
CA,565,12.99
GA,365,8.39
FL,305,7.01
IL,288,6.62
CO,179,4.12
NY,143,3.29
AZ,135,3.1
MI,124,2.85
NV,124,2.85
MN,123,2.83
UT,113,2.6
VA,113,2.6
NC,102,2.35
MO,90,2.07
NJ,85,1.95
MD,82,1.89
PA,75,1.72
TN,71,1.63
OH,67,1.54
MA,61,1.4
WA,53,1.22
LA,52,1.2
WI,48,1.1
OR,44,1.01
IN,40,0.92
KY,31,0.71
OK,27,0.62
SC,25,0.57
HI,23,0.53
NE,21,0.48
ID,20,0.46
AL,19,0.44
CT,19,0.44
ND,19,0.44
MT,13,0.3
WY,13,0.3
SD,12,0.28
NM,11,0.25
IA,10,0.23
PR,10,0.23
AR,8,0.18
KS,8,0.18
RI,8,0.18
NH,7,0.16
VI,6,0.14
MS,5,0.11
ME,4,0.09
AK,3,0.07
WV,2,0.05
GU,1,0.02
