Category,Frequency,Percentage
Chicago,345,7.93
Atlanta,332,7.63
Houston,192,4.41
Dallas-Fort Worth,186,4.28
Denver,184,4.23
Los Angeles,148,3.4
New York,135,3.1
Phoenix,128,2.94
Las Vegas,122,2.81
Minneapolis,120,2.76
Detroit,104,2.39
Newark,102,2.35
San Francisco,98,2.25
Salt Lake City,97,2.23
Baltimore,79,1.82
Orlando,78,1.79
San Diego,68,1.56
Boston,66,1.52
Dallas,56,1.29
Miami,54,1.24
Nashville,53,1.22
Tampa,53,1.22
Arlington,49,1.13
Seattle,49,1.13
Charlotte,44,1.01
Milwaukee,43,0.99
Sacramento,43,0.99
Austin,42,0.97
Philadelphia,39,0.9
St Louis,38,0.87
San Jose,37,0.85
Ft. Lauderdale,36,0.83
Santa Ana,36,0.83
New Orleans,35,0.8
Cleveland,30,0.69
Oakland,28,0.64
Portland,26,0.6
San Antonio,26,0.6
Chantilly,25,0.57
Kansas City,25,0.57
Raleigh,25,0.57
Indianapolis,21,0.48
Ft. Myers,18,0.41
Pittsburgh,18,0.41
Omaha,17,0.39
West Palm Beach,17,0.39
Reno,16,0.37
Tucson,16,0.37
Albany,15,0.34
Albuquerque,15,0.34
Birmingham,15,0.34
Boise,15,0.34
Burbank,15,0.34
Ontario,15,0.34
Windsor Locks,15,0.34
Covington,14,0.32
Columbus,13,0.3
Jacksonville,13,0.3
Charleston,12,0.28
El Paso,12,0.28
Oklahoma City,12,0.28
Tulsa,12,0.28
Baton Rouge,11,0.25
Memphis,11,0.25
Wichita,11,0.25
Des Moines,10,0.23
Grand Rapids,10,0.23
Louisville,10,0.23
Midland,10,0.23
Dayton,9,0.21
Honolulu,9,0.21
Little Rock,9,0.21
Norfolk,9,0.21
Providence,9,0.21
San Juan,9,0.21
Eugene,8,0.18
Lafayette,8,0.18
Madison,8,0.18
Mobile,8,0.18
Richmond,8,0.18
Buffalo,7,0.16
Fayetteville/Springdale/Rogers,7,0.16
Greer,7,0.16
Kahului,7,0.16
Rochester,7,0.16
Springfield,7,0.16
Akron,6,0.14
Appleton,6,0.14
Chattanooga,6,0.14
Columbia,6,0.14
Green Bay,6,0.14
Islip,6,0.14
Lexington,6,0.14
Lubbock,6,0.14
Alexandria,5,0.11
Billings,5,0.11
Bozeman,5,0.11
Fort Wayne,5,0.11
Fresno,5,0.11
Harrisburg,5,0.11
Jackson,5,0.11
Kalispell,5,0.11
Knoxville,5,0.11
Medford,5,0.11
Palm Springs,5,0.11
Savannah,5,0.11
Sioux Falls,5,0.11
Spokane,5,0.11
Traverse City,5,0.11
Valparaiso,5,0.11
White Plains,5,0.11
Aspen,4,0.09
Bloomington,4,0.09
Corpus Christi,4,0.09
Duluth,4,0.09
Flint,4,0.09
Great Falls,4,0.09
Huntsville,4,0.09
Idaho Falls,4,0.09
Pensacola,4,0.09
Peoria,4,0.09
St George,4,0.09
Syracuse,4,0.09
Yuma,4,0.09
Anchorage,3,0.07
Bismarck,3,0.07
Cedar Rapids,3,0.07
Charlotte Amalie,3,0.07
Colorado Springs,3,0.07
Fargo,3,0.07
Grand Forks,3,0.07
Gulfport-Biloxi,3,0.07
Harlingen,3,0.07
Key West,3,0.07
Lansing,3,0.07
Manchester,3,0.07
McAllen,3,0.07
Melbourne,3,0.07
Missoula,3,0.07
Moline,3,0.07
Monterey,3,0.07
Montgomery,3,0.07
Panama City,3,0.07
Rhinelander,3,0.07
Santa Barbara,3,0.07
Sarasota,3,0.07
South Bend,3,0.07
Tyler,3,0.07
Allentown,2,0.05
Amarillo,2,0.05
Asheville,2,0.05
Bakersfield,2,0.05
Bemidji,2,0.05
Brainerd,2,0.05
Bristol,2,0.05
Brunswick,2,0.05
Burlington,2,0.05
College Station,2,0.05
Columbus-Starkville-West Point,2,0.05
Daytona Beach,2,0.05
Eagle,2,0.05
Elmira,2,0.05
Flagstaff,2,0.05
Gainesville,2,0.05
Hailey,2,0.05
Lihue,2,0.05
Lincoln,2,0.05
Montrose,2,0.05
Pasco,2,0.05
Rapid City,2,0.05
Redmond,2,0.05
San Luis Obispo,2,0.05
Shreveport,2,0.05
Wilkes-Barre/Scranton,2,0.05
Agana,1,0.02
Alpena,1,0.02
Augusta,1,0.02
Beaumont/Port Arthur,1,0.02
Brownsville,1,0.02
Butte,1,0.02
Casper,1,0.02
Charlottesville,1,0.02
Devils Lake,1,0.02
Eau Claire,1,0.02
Erie,1,0.02
Escanaba,1,0.02
Fairbanks,1,0.02
Gillette,1,0.02
Greensboro,1,0.02
Gunnison,1,0.02
Hancock,1,0.02
Helena,1,0.02
International Falls,1,0.02
Jamestown,1,0.02
Joplin,1,0.02
Killeen,1,0.02
Long Beach,1,0.02
Longview,1,0.02
Mammoth Lakes,1,0.02
Monroe,1,0.02
Muskegon,1,0.02
North Bend,1,0.02
Pellston,1,0.02
Pocatello,1,0.02
Redding,1,0.02
Roanoke,1,0.02
Saginaw,1,0.02
State College,1,0.02
Tallahassee,1,0.02
Twin Falls,1,0.02
Vernal,1,0.02
Waco,1,0.02
Wilmington,1,0.02
