Category,Frequency,Percentage
TX,552,12.69
CA,511,11.75
IL,358,8.23
GA,340,7.82
FL,292,6.71
CO,196,4.51
NY,179,4.12
AZ,150,3.45
NV,138,3.17
MI,132,3.04
MN,131,3.01
NJ,102,2.35
UT,102,2.35
VA,93,2.14
MD,79,1.82
TN,77,1.77
NC,76,1.75
MO,69,1.59
PA,68,1.56
WI,67,1.54
MA,66,1.52
LA,62,1.43
OH,58,1.33
WA,56,1.29
OR,39,0.9
AL,30,0.69
KY,30,0.69
IN,29,0.67
MT,24,0.55
OK,24,0.55
SC,24,0.55
ID,23,0.53
NE,19,0.44
HI,18,0.41
AR,16,0.37
CT,15,0.34
NM,15,0.34
IA,13,0.3
KS,11,0.25
ND,11,0.25
PR,9,0.21
RI,9,0.21
MS,8,0.18
SD,7,0.16
AK,4,0.09
WY,4,0.09
ME,3,0.07
NH,3,0.07
VI,3,0.07
VT,2,0.05
GU,1,0.02
WV,1,0.02
