Hour,SCHEDULED_DEPARTURE,DEPARTURE_TIME,WHEELS_OFF,WHEELS_ON,SCHEDULED_ARRIVAL,ARRIVAL_TIME
00:00,9,15,16,72,52,82
01:00,1,4,7,19,8,21
02:00,0,1,1,9,1,10
03:00,0,0,0,0,0,0
04:00,0,5,0,2,1,2
05:00,101,160,75,35,16,25
06:00,309,269,263,66,60,62
07:00,294,263,278,140,140,142
08:00,296,273,273,216,201,199
09:00,256,259,252,259,274,252
10:00,260,240,265,253,269,262
11:00,232,242,244,231,243,236
12:00,262,249,238,252,254,246
13:00,275,266,255,256,252,258
14:00,250,242,263,262,260,256
15:00,281,265,255,266,264,268
16:00,252,257,259,261,305,260
17:00,303,276,263,268,256,259
18:00,242,240,258,262,286,267
19:00,273,248,239,262,253,256
20:00,190,214,236,243,254,251
21:00,155,173,165,244,266,242
22:00,83,95,138,216,230,219
23:00,25,32,41,188,204,207
