Source Row,DATE,AIRLINE_NAME,O_CITY,O_STATE,D_CITY,D_STATE,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,ARRIVAL_DELAY,CANCELLED,DIVERTED
2511,2015-5-31,American Airlines Inc.,New York,NY,Miami,FL,1930,926.0,836.0,199,228.0,159.0,1089,865.0,0,0
260,2015-9-25,Delta Air Lines Inc.,Boston,MA,Atlanta,GA,715,1940.0,745.0,173,164.0,137.0,946,736.0,0,0
3448,2015-1-20,Delta Air Lines Inc.,Tampa,FL,Atlanta,GA,830,1559.0,449.0,104,89.0,72.0,406,434.0,0,0
677,2015-7-21,Atlantic Southeast Airlines,Richmond,VA,New York,NY,1030,1614.0,344.0,84,172.0,48.0,292,432.0,0,0
4121,2015-5-31,Delta Air Lines Inc.,Atlanta,GA,Nashville,TN,2300,608.0,428.0,64,53.0,36.0,214,417.0,0,0
4273,2015-12-24,Delta Air Lines Inc.,Santa Ana,CA,Atlanta,GA,1250,2011.0,441.0,246,215.0,194.0,1919,410.0,0,0
1870,2015-6-26,Southwest Airlines Co.,Atlanta,GA,Minneapolis,MN,1340,1959.0,379.0,165,147.0,120.0,907,361.0,0,0
3418,2015-12-27,Skywest Airlines Inc.,Dallas-Fort Worth,TX,Chicago,IL,707,1223.0,316.0,142,156.0,104.0,802,330.0,0,0
2744,2015-8-11,American Airlines Inc.,Newark,NJ,Dallas-Fort Worth,TX,1805,1.0,356.0,235,206.0,189.0,1372,327.0,0,0
704,2015-4-27,Atlantic Southeast Airlines,Dallas-Fort Worth,TX,Brownsville,TX,855,1403.0,308.0,100,98.0,80.0,482,306.0,0,0
180,2015-6-23,American Airlines Inc.,Newark,NJ,Dallas-Fort Worth,TX,500,1014.0,314.0,223,206.0,176.0,1372,297.0,0,0
4216,2015-12-18,Skywest Airlines Inc.,Eugene,OR,San Francisco,CA,1400,1813.0,253.0,92,134.0,104.0,451,295.0,0,0
3245,2015-1-12,Southwest Airlines Co.,Detroit,MI,Atlanta,GA,1600,2048.0,288.0,125,118.0,96.0,594,281.0,0,0
2589,2015-1-12,Atlantic Southeast Airlines,White Plains,NY,Atlanta,GA,1230,1650.0,260.0,146,160.0,139.0,780,274.0,0,0
1445,2015-6-18,Atlantic Southeast Airlines,Covington,KY,Houston,TX,1857,2319.0,262.0,148,149.0,125.0,871,263.0,0,0
2752,2015-12-28,American Airlines Inc.,Austin,TX,Chicago,IL,1455,1646.0,111.0,163,313.0,122.0,977,261.0,0,0
1906,2015-11-18,Skywest Airlines Inc.,Denver,CO,Montrose,CO,1850,2246.0,236.0,59,48.0,36.0,196,225.0,0,0
1357,2015-5-1,Southwest Airlines Co.,Oakland,CA,Kansas City,MO,1000,1341.0,221.0,200,199.0,183.0,1489,220.0,0,0
3868,2015-12-14,Skywest Airlines Inc.,Minneapolis,MN,Rapid City,SD,905,1249.0,224.0,119,115.0,73.0,489,220.0,0,0
4161,2015-12-25,Skywest Airlines Inc.,Minneapolis,MN,Aberdeen,SD,924,1304.0,220.0,89,79.0,55.0,257,210.0,0,0
1089,2015-11-3,Southwest Airlines Co.,Boston,MA,Austin,TX,1300,1658.0,238.0,290,261.0,226.0,1698,209.0,0,0
4009,2015-1-7,American Airlines Inc.,Detroit,MI,Miami,FL,640,1000.0,200.0,199,204.0,154.0,1145,205.0,0,0
3541,2015-12-1,Delta Air Lines Inc.,Minneapolis,MN,St Louis,MO,1500,1801.0,181.0,89,112.0,66.0,448,204.0,0,0
2858,2015-12-13,American Airlines Inc.,Chicago,IL,Dallas-Fort Worth,TX,1825,2202.0,217.0,157,142.0,115.0,802,202.0,0,0
444,2015-4-14,Skywest Airlines Inc.,Kalispell,MT,Salt Lake City,UT,1733,2047.0,194.0,91,94.0,80.0,531,197.0,0,0
659,2015-2-2,Atlantic Southeast Airlines,Detroit,MI,Jacksonville,FL,1546,1918.0,212.0,145,126.0,105.0,813,193.0,0,0
198,2015-3-29,American Airlines Inc.,Dallas-Fort Worth,TX,Kahului,HI,1050,1423.0,213.0,502,481.0,463.0,3711,192.0,0,0
1136,2015-2-8,Skywest Airlines Inc.,Boise,ID,San Francisco,CA,1745,2019.0,154.0,110,147.0,133.0,522,191.0,0,0
779,2015-11-3,American Airlines Inc.,Dallas-Fort Worth,TX,Austin,TX,830,1132.0,182.0,57,62.0,35.0,190,187.0,0,0
2960,2015-5-27,Delta Air Lines Inc.,Atlanta,GA,Philadelphia,PA,1400,1628.0,148.0,135,174.0,143.0,666,187.0,0,0
122,2015-8-7,Southwest Airlines Co.,Phoenix,AZ,Tulsa,OK,1930,2241.0,191.0,135,130.0,115.0,935,186.0,0,0
1009,2015-12-28,Atlantic Southeast Airlines,Atlanta,GA,Tallahassee,FL,912,1206.0,174.0,66,76.0,45.0,223,184.0,0,0
4118,2015-5-2,Southwest Airlines Co.,Las Vegas,NV,Ontario,CA,1915,2210.0,175.0,50,56.0,36.0,197,181.0,0,0
75,2015-4-10,Delta Air Lines Inc.,New York,NY,Miami,FL,1535,1840.0,185.0,207,202.0,165.0,1089,180.0,0,0
1851,2015-8-14,American Airlines Inc.,Philadelphia,PA,Orlando,FL,2050,15.0,205.0,154,128.0,108.0,861,179.0,0,0
304,2015-11-30,Southwest Airlines Co.,St Louis,MO,Phoenix,AZ,900,1205.0,185.0,210,203.0,187.0,1262,178.0,0,0
2190,2015-7-15,Skywest Airlines Inc.,Palm Springs,CA,Phoenix,AZ,1025,1319.0,174.0,66,68.0,48.0,261,176.0,0,0
1041,2015-6-16,American Airlines Inc.,Chicago,IL,Dallas-Fort Worth,TX,1425,1651.0,146.0,150,178.0,149.0,802,174.0,0,0
