,DEPARTURE_DELAY,TAXI_OUT,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,TAXI_IN,ARRIVAL_DELAY,AIR_SYSTEM_DELAY,SECURITY_DELAY,WEATHER_DELAY
DEPARTURE_DELAY,4288.0,4284.0,4288.0,4265.0,4265.0,4288.0,4282.0,4265.0,827.0,827.0,827.0
TAXI_OUT,4284.0,4284.0,4284.0,4265.0,4265.0,4284.0,4282.0,4265.0,827.0,827.0,827.0
SCHEDULED_TIME,4288.0,4284.0,4349.0,4265.0,4265.0,4349.0,4282.0,4265.0,827.0,827.0,827.0
ELAPSED_TIME,4265.0,4265.0,4265.0,4265.0,4265.0,4265.0,4265.0,4265.0,827.0,827.0,827.0
AIR_TIME,4265.0,4265.0,4265.0,4265.0,4265.0,4265.0,4265.0,4265.0,827.0,827.0,827.0
DISTANCE,4288.0,4284.0,4349.0,4265.0,4265.0,4349.0,4282.0,4265.0,827.0,827.0,827.0
TAXI_IN,4282.0,4282.0,4282.0,4265.0,4265.0,4282.0,4282.0,4265.0,827.0,827.0,827.0
ARRIVAL_DELAY,4265.0,4265.0,4265.0,4265.0,4265.0,4265.0,4265.0,4265.0,827.0,827.0,827.0
AIR_SYSTEM_DELAY,827.0,827.0,827.0,827.0,827.0,827.0,827.0,827.0,827.0,827.0,827.0
SECURITY_DELAY,827.0,827.0,827.0,827.0,827.0,827.0,827.0,827.0,827.0,827.0,827.0
WEATHER_DELAY,827.0,827.0,827.0,827.0,827.0,827.0,827.0,827.0,827.0,827.0,827.0
