,DEPARTURE_DELAY,TAXI_OUT,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,TAXI_IN,ARRIVAL_DELAY,AIR_SYSTEM_DELAY,SECURITY_DELAY,WEATHER_DELAY
DEPARTURE_DELAY,1.0,0.06539642055965629,0.04188675435582761,0.04801680514774012,0.037170682005475984,0.03216025305314365,0.04370688066662325,0.9499482233036028,0.06222730231779978,-0.02254798407556928,0.20908691490914363
TAXI_OUT,0.06539642055965629,1.0,0.13721011775735092,0.22952240447926142,0.10801697328011352,0.09336974043492424,0.012329864803742832,0.21805231287600005,0.2985690348884069,-0.005885256599707301,0.018059679200699355
SCHEDULED_TIME,0.04188675435582761,0.13721011775735092,1.0,0.9840539554156352,0.9900773540986261,0.9835593182273603,0.12486003619065747,-0.013706922472962279,0.021442191227788586,-0.041545481146099614,-0.013437209635521438
ELAPSED_TIME,0.04801680514774012,0.22952240447926142,0.9840539554156352,1.0,0.9881810951197265,0.9706317854982852,0.19367156245030592,0.04711245235923981,0.18952612196980143,-0.04213236433751804,-0.020411487198947316
AIR_TIME,0.037170682005475984,0.10801697328011352,0.9900773540986261,0.9881810951197265,1.0,0.9840983736315819,0.10428106250620929,0.0058607781430051,0.05438163971540948,-0.04544939256253585,-0.021502067723977784
DISTANCE,0.03216025305314365,0.09336974043492424,0.9835593182273603,0.9706317854982852,0.9840983736315819,1.0,0.10050751366340281,-0.0174867092081965,0.00374514540183685,-0.04217719896740356,-0.019529634152824816
TAXI_IN,0.04370688066662325,0.012329864803742832,0.12486003619065747,0.19367156245030592,0.10428106250620929,0.10050751366340281,1.0,0.15791946892856487,0.4950822936921651,0.009627591367156992,-0.024509223936877253
ARRIVAL_DELAY,0.9499482233036028,0.21805231287600005,-0.013706922472962279,0.04711245235923981,0.0058607781430051,-0.0174867092081965,0.15791946892856487,1.0,0.24942564706525625,-0.0256206730232802,0.2079996419800589
AIR_SYSTEM_DELAY,0.06222730231779978,0.2985690348884069,0.021442191227788586,0.18952612196980143,0.05438163971540948,0.00374514540183685,0.4950822936921651,0.24942564706525625,1.0,-0.013088704794620425,-0.036268692734087386
SECURITY_DELAY,-0.02254798407556928,-0.005885256599707301,-0.041545481146099614,-0.04213236433751804,-0.04544939256253585,-0.04217719896740356,0.009627591367156992,-0.0256206730232802,-0.013088704794620425,1.0,-0.008499022843496552
WEATHER_DELAY,0.20908691490914363,0.018059679200699355,-0.013437209635521438,-0.020411487198947316,-0.021502067723977784,-0.019529634152824816,-0.024509223936877253,0.2079996419800589,-0.036268692734087386,-0.008499022843496552,1.0
