Bin,Left edge,Right edge,Actual minimum,Actual maximum,Count,Bin mean
Bin 1,27.0,61.0,27.0,60.0,312,52.625
Bin 2,61.0,71.0,61.0,70.0,332,65.50602409638554
Bin 3,71.0,81.0,71.0,80.0,338,75.73372781065089
Bin 4,81.0,89.0,81.0,88.0,300,84.37
Bin 5,89.0,99.0,89.0,98.0,333,93.62762762762763
Bin 6,99.0,110.0,99.0,109.0,331,103.93051359516616
Bin 7,110.0,124.0,110.0,123.0,336,115.88690476190476
Bin 8,124.0,138.0,124.0,137.0,331,130.31117824773415
Bin 9,138.0,152.0,138.0,151.0,327,144.61467889908258
Bin 10,152.0,171.0,152.0,170.0,337,160.56676557863503
Bin 11,171.0,204.0,171.0,203.0,325,185.23384615384614
Bin 12,204.0,257.0,204.0,256.0,332,227.40662650602408
Bin 13,257.0,610.0,257.0,610.0,331,313.012084592145
