Bin,Left edge,Right edge,Actual minimum,Actual maximum,Count,Bin mean
Bin 1,27.0,71.84615384615384,27.0,71.0,680,59.88676470588236
Bin 2,71.84615384615384,116.6923076923077,72.0,116.0,1458,93.01920438957475
Bin 3,116.6923076923077,161.53846153846155,117.0,161.0,988,138.39777327935224
Bin 4,161.53846153846155,206.3846153846154,162.0,206.0,504,180.52380952380952
Bin 5,206.3846153846154,251.23076923076923,207.0,251.0,271,226.54981549815497
Bin 6,251.23076923076923,296.0769230769231,252.0,296.0,170,268.68823529411765
Bin 7,296.0769230769231,340.9230769230769,297.0,340.0,121,316.4876033057851
Bin 8,340.9230769230769,385.7692307692308,341.0,385.0,54,358.037037037037
Bin 9,385.7692307692308,430.61538461538464,386.0,429.0,9,403.0
Bin 10,430.61538461538464,475.46153846153845,449.0,467.0,4,458.5
Bin 11,475.46153846153845,520.3076923076924,481.0,498.0,3,490.0
Bin 12,520.3076923076924,565.1538461538462,559.0,559.0,1,559.0
Bin 13,565.1538461538462,610.0,566.0,610.0,2,588.0
