Attribute,Pandas dtype,Non-missing count,Missing count,Missing percentage,Unique values
O_CITY,str,4349,0,0.0,213
O_STATE,str,4349,0,0.0,52
D_CITY,str,4349,0,0.0,214
D_STATE,str,4349,0,0.0,51
SCHEDULED_DEPARTURE,int64,4349,0,0.0,806
DEPARTURE_TIME,float64,4288,61,1.4,1084
DEPARTURE_DELAY,float64,4288,61,1.4,204
TAXI_OUT,float64,4284,65,1.49,73
WHEELS_OFF,float64,4284,65,1.49,1082
SCHEDULED_TIME,int64,4349,0,0.0,350
ELAPSED_TIME,float64,4265,84,1.93,353
AIR_TIME,float64,4265,84,1.93,334
DISTANCE,int64,4349,0,0.0,930
WHEELS_ON,float64,4282,67,1.54,1126
TAXI_IN,float64,4282,67,1.54,50
SCHEDULED_ARRIVAL,int64,4349,0,0.0,1024
ARRIVAL_TIME,float64,4282,67,1.54,1133
ARRIVAL_DELAY,float64,4265,84,1.93,236
DIVERTED,int64,4349,0,0.0,2
CANCELLED,int64,4349,0,0.0,2
AIR_SYSTEM_DELAY,float64,827,3522,80.98,81
SECURITY_DELAY,float64,827,3522,80.98,5
WEATHER_DELAY,float64,827,3522,80.98,44
DATE,str,4349,0,0.0,334
AIRLINE_NAME,str,4349,0,0.0,6
